GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
0.73591,1.1681,0.50163,0.60848,0.28333,5.987,6.0
1.35495,1.04167,0.85102,0.18827,0.02556,5.977,0.0
0.97306,0.85974,0.68613,0.4027,0.18037,5.976,4.0
0.87616,0.68655,0.45569,0.51231,0.10771,5.956,4.0
1.38007,1.06054,0.91491,0.46761,0.18985,5.921,7.0
1.22943,0.95544,0.57386,0.4052,0.11132,5.919,6.0
0.69177,0.83132,0.52309,0.25202,0.01903,5.897,6.0
1.23228,1.05261,0.58991,0.32682,0.03586,5.856,6.0
1.24585,1.04685,0.69058,0.4519,0.055,5.835,6.0
1.35948,0.72194,0.88645,0.25168,0.07716,5.835,7.0
0.79422,0.83779,0.4697,0.50961,0.07746,5.822,4.0
1.2692,1.06411,0.64674,0.18929,0.0182,5.813,6.0
1.13062,1.04993,0.63104,0.29091,0.17457,5.802,6.0
1.31141,0.81826,0.84142,0.43596,0.16578,5.771,0.0
1.29947,1.05613,0.79151,0.53164,0.03635,5.768,6.0
0.99602,0.81255,0.62994,0.37502,0.05292,5.743,4.0
1.08017,1.03817,0.44006,0.37408,0.28467,5.658,6.0
1.14372,0.75695,0.66189,0.46145,0.05203,5.648,8.0
1.06688,0.95076,0.52304,0.40672,0.10339,5.615,3.0
1.21788,0.95025,0.63952,0.27996,0.0889,5.56,6.0
1.31857,0.70697,0.8488,0.29507,0.05228,5.546,0.0
0.89373,1.11111,0.58295,0.46235,0.07396,5.538,4.0
1.1697,0.72803,0.67602,0.36712,0.00679,5.528,6.0
1.27964,1.05163,0.68098,0.41511,0.18519,5.517,6.0
0.89333,0.96372,0.59469,0.43597,0.04294,5.51,4.0
1.18649,0.60809,0.70524,0.23907,0.04002,5.488,6.0
1.5107,0.87021,0.95277,0.48079,0.31647,5.458,7.0
0.0,0.33613,0.11466,0.56778,0.3118,5.44,8.0
0.90145,0.66062,0.54,0.14396,0.06547,5.401,6.0
1.16492,0.87717,0.64718,0.23889,0.12348,5.389,3.0
0.95104,0.87625,0.49374,0.39237,0.00322,5.314,5.0
0.99673,0.86216,0.60712,0.36023,0.13297,5.303,3.0
1.12373,0.76042,0.54504,0.35327,0.17914,5.291,6.0
0.81217,0.87877,0.47036,0.54854,0.11757,5.279,5.0
1.0278,0.79381,0.73561,0.44012,0.02745,5.245,7.0
0.8527,0.90836,0.49759,0.46074,0.1616,5.196,9.0
0.56044,0.95434,0.55449,0.40212,0.04762,5.185,6.0
1.03437,0.81329,0.6458,0.15718,0.04339,5.177,6.0
0.93383,0.64367,0.70766,0.09511,0.0,5.163,6.0
1.07838,0.74173,0.63533,0.15111,0.12721,5.161,6.0
1.02787,0.99496,0.57669,0.52259,0.12372,5.155,4.0
0.84058,0.38595,0.59471,0.25646,0.08404,5.151,3.0
1.24142,0.93164,0.67608,0.1977,0.04472,5.145,6.0
0.68816,0.26135,0.40306,0.14622,0.1388,5.132,9.0
1.12268,0.64184,0.76171,0.26228,0.03061,5.129,3.0
1.27607,0.94367,0.79363,0.44727,0.01521,5.123,0.0
1.0193,0.78236,0.64738,0.27668,0.07047,5.121,6.0
