GDP,Family,Life Expectancy,Freedom,Trust,Score,2015,2016,2017,2018,2019,Western Europe,North America,Australia and New Zealand,Middle East and Northern Africa,Latin America and Caribbean,Southeastern Asia,Central and Eastern Europe,Eastern Asia,Sub-Saharan Africa,Southern Asia
0.95847,1.22668,0.53886,0.4761,0.30844,5.548,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.00761,0.98521,0.7095,0.56066,0.07521,5.477,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.38604,1.05818,1.01328,0.59608,0.37124,5.474,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.15174,1.22791,0.77361,0.44888,0.15184,5.429,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.82827,1.08708,0.63793,0.46611,0.0,5.399,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.63216,0.91226,0.74676,0.59444,0.10441,5.36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.06098,0.94632,0.73172,0.22815,0.15746,5.332,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.47428,1.15115,0.65088,0.43477,0.04232,5.286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.65435,0.90432,0.16007,0.34334,0.0403,5.268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.77042,1.10395,0.57407,0.53206,0.15445,5.253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.02389,0.93793,0.64045,0.3703,0.16065,5.212,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.59543,0.41411,0.51466,0.12102,0.10464,5.194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.90198,1.05392,0.69639,0.40661,0.14293,5.192,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.97438,0.90557,0.72521,0.1826,0.14296,5.192,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.89012,0.94675,0.81658,0.51697,0.02781,5.14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.47038,0.91612,0.29924,0.48827,0.12468,5.129,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.04345,0.88588,0.7689,0.35068,0.00649,5.124,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.92053,1.00964,0.74836,0.20107,0.02617,5.123,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.15991,1.13935,0.87519,0.51469,0.01078,5.102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.11312,1.09562,0.72437,0.29671,0.06332,5.098,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.70532,1.03516,0.58114,0.62545,0.12279,5.073,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.18847,0.95152,0.43873,0.46582,0.39928,5.057,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.73479,0.64095,0.60954,0.41691,0.08546,5.013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.91851,1.00232,0.73545,0.33457,0.05327,5.007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08308,1.02626,0.09131,0.34037,0.15603,4.971,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.87867,0.80434,0.81325,0.35733,0.06413,4.959,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.83223,0.91916,0.79081,0.09245,0.00227,4.949,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.37545,1.04103,0.07612,0.31767,0.12504,4.898,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.89537,1.17202,0.66825,0.57672,0.14234,4.885,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.59066,0.73803,0.54909,0.59591,0.24249,4.876,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.82819,1.3006,0.60268,0.43626,0.02666,4.874,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71206,1.07284,0.07566,0.30658,0.0306,4.867,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.15406,0.92933,0.88213,0.07699,0.01397,4.857,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.02564,0.80001,0.83947,0.33916,0.04582,4.839,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.12094,1.20215,0.75905,0.32112,0.02758,4.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.59532,0.95348,0.6951,0.40148,0.06825,4.788,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.39047,0.85563,0.57379,0.47216,0.15072,4.786,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.88113,0.60429,0.73793,0.26268,0.06358,4.739,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.59867,0.92558,0.66015,0.24499,0.12905,4.715,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.39753,0.43106,0.60164,0.4082,0.12569,4.694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0088,0.54447,0.69805,0.30033,0.05863,4.686,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.79907,1.20278,0.6739,0.25123,0.02961,4.681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.98549,0.81889,0.60237,0.0,0.13788,4.677,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.92049,1.18468,0.27688,0.33207,0.08884,4.642,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.54558,0.67954,0.40132,0.42342,0.04355,4.633,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.271,1.03276,0.33475,0.25861,0.08079,4.61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0712,0.78968,0.34201,0.28531,0.06232,4.571,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.64499,0.38174,0.51529,0.39786,0.08492,4.565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.52107,1.01404,0.36878,0.10081,0.1466,4.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.26673,0.74302,0.38847,0.24425,0.17175,4.518,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0012,0.09806,0.22605,0.07625,4.517,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.35997,0.86449,0.56874,0.38282,0.05907,4.514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.19073,0.60406,0.44055,0.4345,0.15048,4.512,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.33024,0.95571,0.0,0.4084,0.08786,4.507,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.45407,0.86908,0.35874,0.24232,0.17461,4.436,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.36471,0.99876,0.41435,0.42215,0.05839,4.419,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.44025,0.59207,0.36291,0.46074,0.28105,4.369,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.76821,0.77711,0.7299,0.19847,0.039,4.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.99355,1.10464,0.04776,0.49495,0.12474,4.332,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.27108,0.70905,0.48246,0.44017,0.19034,4.307,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7419,0.38562,0.72926,0.40577,0.38331,4.297,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
